year,title,img,rating_count,gross,genre,rating,runtime,stars,metacritic,description
2007,Gone Baby Gone,2007_gone_baby_gone.jpg,240274,20300000,"Crime, Drama, Mystery",R,114,7.6,NA,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally."
2008,Baby Mama,2008_baby_mama.jpg,40394,60270000,"Comedy, Romance",PG-13,99,6,55,"A successful, single businesswoman who dreams of having a baby discovers she is infertile and hires a working class woman to be her unlikely surrogate."
2008,The Strangers,2008_the_strangers.jpg,113385,52600000,"Horror, Mystery, Thriller",R,86,6.2,47,A young couple staying in an isolated vacation home are terrorized by three unknown assailants.
2008,The Forbidden Kingdom,2008_the_forbidden_kingdom.jpg,98688,52080000,"Action, Adventure, Fantasy",PG-13,104,6.6,57,"A discovery made by a kung fu obsessed American teen sends him on an adventure to China, where he joins up with a band of martial arts warriors in order to free the imprisoned Monkey King."
2008,The Tale of Despereaux,2008_the_tale_of_despereaux.jpg,34736,50880000,"Animation, Adventure, Comedy",G,93,6.1,53,An unusually brave mouse helps to restore happiness to a forlorn kingdom after making friends with a gentleman rat.
2008,Australia,2008_australia.jpg,116168,49550000,"Adventure, Comedy, Drama",PG-13,165,6.6,53,"Set in northern Australia before World War II, an English aristocrat who inherits a sprawling ranch reluctantly pacts with a stock-man in order to protect her new property from a takeover plot. As the pair drive 2,000 head of cattle over unforgiving landscape, they experience the bombing of Darwin, Australia, by Japanese forces firsthand."
2008,The House Bunny,2008_the_house_bunny.jpg,76570,48240000,"Comedy, Romance",PG-13,97,5.5,55,"After Playboy bunny Shelley is kicked out of the playboy mansion, she finds a job as the house mother for a sorority full of socially awkward girls."
2008,Nim's Island,2008_nims_island.jpg,32318,48010000,"Adventure, Family, Fantasy",PG,96,6,55,A young girl inhabits an isolated island with her scientist father and communicates with a reclusive author of the novel she's reading.
2008,Made of Honor,2008_made_of_honor.jpg,64883,46010000,"Comedy, Romance",PG-13,101,5.9,NA,A guy in love with an engaged woman tries to win her over after she asks him to be her maid of honor.
2008,College Road Trip,2008_college_road_trip.jpg,14928,45590000,"Adventure, Comedy, Drama",G,83,4.3,NA,"James Porter (Martin Lawrence) drives his teenage daughter Melanie (Raven Symone), from their home in Chicago to a college interview in Washington, D.C."
2008,The Sisterhood of the Traveling Pants 2,2008_the_sisterhood_of_the_traveling_pants_.jpg,26109,44090000,"Comedy, Drama, Romance",PG-13,119,6.2,NA,Four college freshmen and best friends find that it may take more than a shared pair of jeans to help them stay in touch as their lives go in different directions.
2008,Speed Racer,2008_speed_racer.jpg,66608,43950000,"Action, Adventure, Comedy",PG,135,6,NA,"A young driver, Speed Racer, aspires to be champion of the racing world with the help of his family and his high-tech Mach 5 automobile."
2008,Prom Night,2008_prom_night.jpg,32750,43870000,"Horror, Mystery",PG-13,88,3.9,NA,"Donna's senior prom is supposed to be the best night of her life, though a sadistic killer from her past has different plans for her and her friends."
2008,Rambo,2008_rambo.jpg,211083,42750000,Action,R,92,7,46,"In Thailand, John Rambo joins a group of mercenaries to venture into war-torn Burma, and rescue a group of Christian aid workers who were kidnapped by the ruthless local infantry unit."
